,gender,test_group,pre_trial_cpss,post_trial_cpss,pre_trial_or,post_trial_or
113,Male,Animated,5.61,6.79,5.73,6.83
114,Male,Animated,4.63,6.61,4.23,6.73
115,Male,Animated,5.87,6.56,5.6,6.57
116,Male,Animated,4.28,4.87,4.44,4.93
117,Male,Animated,6.1,4.88,5.94,4.98
118,Male,Animated,4.65,4.56,4.99,4.45
119,Male,Animated,8.63,6.13,8.74,5.99
120,Mal,Animated,7.18,6.45,7.22,6.69
121,Male,Animated,7.21,5.49,7.78,5.66
122,Male,Animated,7.83,3.9,8.37,3.65
123,Male,Animated,6.84,6.96,6.33,6.79
124,Male,Animated,5.77,5.82,6.02,5.9
125,Male,Animated,7.41,5.08,7.25,5.17
126,Female,Animated,5.4,4.5,4.99,4.49
127,Female,Animated,5.83,5.1,6.4,5.11
128,Female,Animated,5.87,5.15,5.87,5.22
129,Female,Animated,4.22,2.87,3.98,2.88
130,Female,Animated,5.74,4.98,5.45,5.21
131,Female,Animated,6.24,5.67,5.67,5.82
132,Female,Animated,6.63,6.21,6.33,6.43
133,Female,Animated,5.38,4.48,5.71,4.69
134,Female,Animated,5.96,5.29,6.23,5.34
135,Female,Animated,6.59,6.16,6.35,6.23
136,Female,Animated,6.34,5.8,6.83,5.72
137,Female,Animated,6.57,6.12,6.38,5.89
138,Female,Animated,7.33,7.17,6.81,7.01
139,Female,Animated,4.05,2.64,3.93,2.86
140,Female,Animated,7.22,7.02,7.2,6.8
141,Female,Animated,5.13,4.13,5.51,3.88
142,Female,Animated,5.22,4.26,5.41,4.24
143,Female,Animated,5.1,4.09,5.45,4.08
144,Female,Animated,6.4,5.9,6.62,5.69
145,Female,Animatd,6.51,6.05,7.05,5.89
146,Female,Animated,6.2,5.62,6.66,5.61
147,Female,Animated,5.98,5.31,6.26,5.23
148,Female,Animated,6.31,5.77,6.37,5.73
149,Female,Animated,5.61,4.8,5.95,4.91
150,Female,Animated,6.25,5.69,6.06,5.83
